Language name,Language family,Concept,Word written in corresponding language,Number of senses,Synonyms number,Sense_1,Sense_2,Sense_3,Sense_4,Sense_5,Sense_6,Sense_7,Sense_8,Sense_9,Sense_10,Sense_11,Sense_12,Sense_13,Sense_14,Sense_15,Sense_16,Sense_17,Sense_18,Sense_19,Sense_20,Sense_21,,,,
Arabic,Afro-Asiatic,stone,حجر,8,0 ,Gold And Silver,Jewel,Nomad,Number Of Drills In The Table,Obstacle,Piece,Stone,Tell Him Speechlessly,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,sun,شمس,9,0 ,Comb,God,Mustard,"Necklace, Collar",Sick Caused By Sun,Sun,Sunfish,Sunflower,Sunspot,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,that,أن,1,2 ,That,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,that,ذلك,1,2 ,That,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,this,هذا,1,0 ,This,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,three,ثلاث,3,0 ,One Third,The Third,Three,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,tree,شجرة,6,0 ,Bridge,He Was Born Noble,"Pedigree,Genealogy,Lineage,Genealogy",Shrub,Tree,Tree Frog,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,two,اثنان,4,0 ,Deputy,Duplicate Things,Monday,Two,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,water,ماء,9,0 ,Alcohol,Blood,Chives,"Face,Self-Respect,Radience On The Face",Juice,Lily,Liquid,Seagull,Water,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,what,ما,1,0 ,What,,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,white,أبيض,10,0 ,Blank,Daylight,Hairless Skin Parts,Milk,"Shirt, Underwear",Space,"State, Prove, Reveal",Table Cloth,Waist Fat,White,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,who,من,2,0 ,Where,Who,,,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,woman,مرأة,4,0 ,Delicious,Lady,Wife,Woman,,,,,,,,,,,,,,,,,,,,,
Arabic,Afro-Asiatic,you,أنت,1,0 ,You,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,bad,սուարիմ,3,0 ,Bad,"Debased,Evil, Wicked",Ill,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,big,մեծ,13,0 ,Big,Bulky,"Chief,Leading",Considerable,"Elevated,Eminent",Grand,"Great,Superior",High,"Huge,Immense",Majestic,"Major,Main","Significant,Important",Vast,,,,,,,,,,,,
Armenian,Indo-European,bird,թռչուն,3,0 ,Bird,Fowl,Volatile,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,black,սեւ,5,0 ,Black,Black People,Dark,"Dejected,Dismal",Gloomy,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,blood,արիւն,3,0 ,Blood,Kin,Kinship,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,bone,ոսկոր,1,0 ,Bone,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,cold,ցուրտ,5,0 ,Cold,Cool,"Indifferent,Unemotional,Insensitive",Senseless,Silly,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,come,գալ,1,0 ,Come,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,die,մեռնիլ,9,0 ,Decade,Decrease,Depart,Die,Disappear,Expire,"Perish,Wither",Stop,Wane,,,,,,,,,,,,,,,,
Armenian,Indo-European,dog,շուն,3,0 ,Adulterer,Canis Major,Dog,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,drink,խմել,3,0 ,Absorb,Drink,Suck,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,ear,ականջ,1,0 ,Ear,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,earth_soil,գետին,5,0 ,Earth,Field,Ground,Land,Soil,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,eat,ուտել,5,0 ,Corrode,Eat,"Eat Up,Use Up,Get Through",Spend,Squander,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,eye,աչք,2,0 ,Eye,"Sight,Vision",,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,fire,հուր,4,0 ,Burning,Combustion,Fire,Flames,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,foot,ոտք,1,0 ,Foot,,,,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,give,տալ,10,0 ,"Confer,Bestow",Deliver,Deliver Over,Give,Give Away,Give Up,Make A Present Of,Remit,Render,"Transfer,Transmit",,,,,,,,,,,,,,,
Armenian,Indo-European,go,գնալ,5,0 ,Flow,Go,"Pass,Go By",Run,Walk,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,good,բարի,4,0 ,Easy,"Fine, Nice",Good,Kind,,,,,,,,,,,,,,,,,,,,,
Armenian,Indo-European,hand,ձեռք,1,0 ,Hand,,,,,,,,,,,,,,,,,,,,,,,,
